Company_Name;period;y;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;d1;d2;d3;d4;d5;d6;year;yearfory;periodfory;t;u
A V X CORP NEW;5;0;2.995595843;0.431182172;2.889893973;3.532437749;1.246070759;0.249409361;0.018170457;0.119948239;0.159805136;13.35186517;0;0;0;0;1;0;1999;2002;8;4;7
A V X CORP NEW;6;0;3.94514064;0.536711089;2.57781593;4.92271409;1.383542394;0.201614984;0.009035026;0.301064984;0.377092478;7.527009269;0;0;0;0;0;1;2000;2003;9;5;8
AASTROM BIOSCIENCES INC;1;0;9.853575486;0.847365563;0.024230769;0.36068703;0.020532319;0.099239545;0.003904373;-0.776099946;-0.861605261;31.78879305;1;0;0;0;0;0;1997;2000;4;0;3
AASTROM BIOSCIENCES INC;2;0;7.623691107;0.817924681;0.024602312;0.343448278;0.020122838;0.925973816;0;-1.392678197;-18.81331877;25.66426704;0;1;0;0;0;0;1998;2001;5;1;4
AASTROM BIOSCIENCES INC;3;0;8.783284738;0.839517819;0.110001249;1.754980064;0.092348008;0.798427673;0;-1.155974843;-5.7347894;12.89093874;0;0;1;0;0;0;1999;2002;6;2;5
AASTROM BIOSCIENCES INC;4;0;13.1187625;0.903698743;0.094704768;3.938356217;0.08558458;0.074570217;0;-0.6988167;-0.755126659;29.34830342;0;0;0;1;0;0;2000;2003;7;3;6
AASTROM BIOSCIENCES INC;5;0;11.59841739;0.900042;0.083901073;5.022346634;0.07551449;0.0849223;0;-0.497774046;-0.543969158;36.52559836;0;0;0;0;1;0;2001;2004;8;4;7
AASTROM BIOSCIENCES INC;6;0;15.1293333;0.91725093;0.082759272;4.257281541;0.075911019;0.064918203;0;-0.68718082;-0.734888458;27.40225332;0;0;0;0;0;1;2002;2005;9;5;8
ABERCROMBIE & FITCH CO;1;0;1.029548061;0.012178402;260.3819899;5.508467054;3.171036582;0.893741549;0.816486496;0.233299609;2.195586405;8.911323184;1;0;0;0;0;0;1996;1999;4;0;3
ABERCROMBIE & FITCH CO;2;0;1.62722141;0.229210098;12.41945235;7.022685639;2.846663896;0.679242297;0.459664445;0.263711675;0.822152274;12.80727004;0;1;0;0;0;0;1997;2000;5;1;4
